,哈尔滨冰雪大世界,哈尔滨融创乐园,哈尔滨中央大街,太阳岛风景区,哈尔滨极地公园,哈尔滨极地公园·极地馆,东北虎林园,哈尔滨防洪纪念塔广场,哈尔滨市人民防洪胜利纪念塔,索菲亚广场,哈尔滨音乐公园,圣·索菲亚教堂,中华巴洛克历史文化街区,斯大林公园,哈尔滨市兆麟公园,音乐长廊,江上城堡观光索道,哈尔滨市博物馆,极乐寺,黑龙江省博物馆,中东铁路桥,哈药六版画博物馆,龙塔,体育公园,俄罗斯童话博物馆,哈尔滨市儿童公园,波塞冬海底世界,东北烈士纪念馆,哈尔滨文庙,梅金肖克百年庭院,中东铁路桥头堡,哈尔滨美术馆,哈尔滨工业大学博物馆,龙江大舞台旗舰店,雅致永悦汇养生沐浴,太阳岛风景区-东北抗日联军纪念园,平房公园,哈军工纪念馆,哈尔滨伏尔加庄园,哈尔滨清滨公园投影民宿(哈尔滨工业大学店),哈尔滨群力丁香公园地铁站亚朵酒店,万达广场(哈尔滨哈西店),凯德广场·学府,万达广场(哈尔滨香坊店),万达广场(哈尔滨哈东店),杉杉奥特莱斯广场·哈尔滨,哈特购物广场,杉杉(杉杉奥特莱斯广场·哈尔滨店),金爵万象商业广场,哈尔滨西站万达广场中心桔子水晶酒店,哈尔滨记忆城市文化主题餐厅(金中环广场店),万达影城(哈尔滨香坊万达广场店),哈尔滨西站万达广场美居酒店,波波笑剧场(哈尔滨哈西万达广场店),全季酒店(哈尔滨中央大街哈站北广场店),如家酒店(哈尔滨香坊万达广场龙塔店),希岸Deluxe酒店(哈尔滨哈西高铁站万达广场店),毛毛镇音乐主题乐园,哈尔滨民俗博物馆民宿(松花江店),快乐专+(哈尔滨店),遇见汤泉,哈尔滨枫叶小镇温泉度假酒店,滨果汤泉空间,悦溪棠温泉洗浴,禧沐汤泉,银河欢乐世界温泉洗浴,浴玺湾温泉水汇,云尚汤泉洗浴会馆,亚布力良栖青云民宿,花筑·栖禧民宿(雪谷风景区店),亚布力芳源李·1897民宿,亚布力壹号别院民宿,寒酥庄园酒店(亚布力滑雪旅游度假区),亚布力梵山雪麓民宿,琪瑞酒店(哈尔滨太平国际机场店),亚布力青年雪鼎山庄,亚布力富丽山居民宿,亚布力·沁园春lce and Snow World·轻奢别墅(亚布力南站店),亚布力滑雪温泉森林别墅,野有故里设计师民宿,花筑·西柚度假民宿(哈尔滨冰雪大世界店),亚布力玖间度假别墅(滑雪旅游度假区店),亚布力友所居温泉民宿,墅云居·Travel休闲度假民宿(亚布力滑雪旅游度假区店),亚布力青云小镇清雅轩民宿,雪谷李姐温泉酒店,嘉毅客栈(中国雪谷风景区店),佰源民宿酒店(东北虎林园店),春上汤泉,亚布力滑雪旅游度假区,哈尔滨热雪奇迹,老街滋味坊(直营旗舰店),老街滋味坊(民安小区店),偏脸子哈尔滨老烧烤(自兴街店),老街滋味坊(香坊大街店),隆栎老北京炭火锅(巴陵街),老松滨饭店(菜艺街店),老牌坊云南鱼豆花火锅(大成街店),偏脸子哈尔滨老烧烤(建国北六道街店),一头牛正宗齐齐哈尔烤肉(太古街店),哈尔滨万枫酒店(中央大街火车站店),焕彩时尚宾馆(哈尔滨站中央大街店),惟景假日酒店(哈尔滨中央大街店),哈尔滨中央大街友谊路亚朵酒店,茄子青旅(中央大街店),萤火虫青年旅舍(哈尔滨中央大街索菲亚教堂店),哈尔滨染冬青年旅舍(中央大街步行街索菲亚教堂店),稻香国际青年旅舍(哈尔滨中央大街店),豪滨假日酒店(哈尔滨火车站博物馆地铁站店),滨江快捷宾馆,VIP会所(哈尔滨凯德广场店),鸿顺旅店(哈尔滨医大二院店),有房民宿(哈尔滨理工大学店),哈尔滨天吉招待所,秦泉青年旅馆(哈尔滨南岗店),哈尔滨火车站果戈里大街漫心酒店,哈尔滨天翼快捷宾馆,顺心旅店(哈尔滨海城市场店),哈尔滨合欣旅店,哈尔滨尚志旅社,顺航宾馆(哈尔滨太平国际机场店),哈尔滨香坊金沙时尚快捷宾馆,哈尔滨喜光主题小宾馆,哈尔滨金帝宾馆,自然空间休闲宾馆(哈尔滨巴洛克极乐寺店),君康日租公寓(中华巴洛克风情街店),太阳岛宾馆(太阳大道),北舍民宿(哈尔滨北岸明珠龙湾店),雅舍青旅(哈尔滨松北区融创茂店),哈尔滨太阳岛花园酒店,哈尔滨站,哈尔滨西站,哈尔滨东站,哈尔滨北站,哈尔滨太平国际机场
哈尔滨西站万达广场美居酒店,14.16,22.0,12.46,18.76,15.29,15.55,21.62,12.47,12.49,11.05,8.18,10.49,11.9,12.09,11.51,8.12,11.87,10.96,13.04,9.56,12.29,14.57,12.37,6.64,10.49,11.4,43.44,9.8,13.78,10.91,12.24,6.83,9.22,11.5,12.53,17.42,17.33,14.87,33.18,6.66,5.7,1.0,4.6,13.35,22.38,24.11,7.26,24.64,0.75,1.34,7.58,11.42,0.0,1.47,9.99,11.8,1.18,28.36,11.0,24.73,4.82,25.05,11.22,2.23,5.61,21.14,26.86,8.67,234.07,242.54,234.37,218.53,225.61,229.33,29.32,230.59,231.91,229.13,233.68,234.01,19.47,233.59,233.71,233.67,233.78,242.68,243.42,21.22,9.38,233.61,21.28,14.2,8.45,4.36,11.02,12.04,11.69,13.67,9.27,13.51,10.65,10.52,9.41,13.67,10.41,11.93,11.68,12.25,11.09,6.29,5.64,3.76,6.25,13.93,9.78,12.19,12.91,10.49,10.81,10.63,30.54,11.71,11.1,7.66,15.57,13.11,14.15,22.41,21.59,13.73,11.7,2.89,19.49,23.4,34.45
波波笑剧场(哈尔滨哈西万达广场店),13.82,22.63,12.12,18.42,14.95,15.21,21.28,12.12,12.15,10.71,7.84,10.15,11.56,11.75,11.17,7.78,11.53,10.62,12.7,9.22,11.94,14.58,12.38,6.98,10.15,11.06,27.46,9.46,13.79,10.56,11.9,6.49,8.88,11.16,12.54,17.08,17.92,14.88,33.77,6.32,5.36,0.11,4.26,13.36,22.97,23.77,6.92,24.3,0.31,0.68,7.24,12.01,1.47,0.0,8.27,13.08,1.37,29.22,9.28,19.14,4.89,25.91,9.5,1.51,5.68,22.0,21.64,7.38,232.02,240.2,232.32,216.48,223.57,227.29,29.4,228.54,229.86,227.08,231.63,231.96,18.18,231.54,231.67,231.63,231.73,240.34,241.08,19.93,8.91,231.56,22.14,11.56,6.73,3.64,11.24,10.72,11.91,12.35,7.98,14.48,9.93,8.8,8.12,11.95,8.69,10.49,9.96,10.53,11.17,6.47,4.92,3.95,4.91,11.05,8.46,10.87,11.59,9.17,9.09,9.91,30.62,12.44,11.33,6.32,14.24,11.38,12.87,15.82,22.45,12.45,9.97,2.96,19.71,22.12,34.52
全季酒店(哈尔滨中央大街哈站北广场店),8.97,15.73,2.95,13.57,10.1,10.36,16.42,3.63,3.65,1.75,8.47,3.04,4.23,5.45,3.89,8.42,5.13,1.99,5.79,3.91,3.21,10.12,7.92,11.68,3.04,5.16,20.55,3.53,9.34,1.6,3.16,9.6,3.14,3.96,8.08,12.23,21.55,10.42,31.91,2.79,7.32,8.38,5.23,8.9,17.11,18.91,3.74,19.44,8.12,7.86,9.04,9.18,9.99,8.27,0.0,6.37,9.71,32.98,3.11,15.72,9.46,19.26,3.33,9.5,10.76,15.39,26.16,3.15,230.92,245.89,231.22,215.38,222.46,226.18,34.04,227.44,228.76,225.98,230.53,230.86,13.94,230.44,230.56,230.52,230.63,246.03,246.77,13.51,6.98,230.45,15.53,4.39,2.44,6.27,7.9,4.89,7.34,4.36,3.66,3.71,2.65,0.74,3.69,6.34,1.8,2.13,1.87,2.68,5.34,11.13,5.38,8.61,9.12,4.13,5.37,5.05,5.28,5.24,1.47,4.21,35.26,9.01,7.98,4.8,4.42,3.3,8.62,11.58,15.84,8.2,1.89,8.73,9.3,17.88,39.16
如家酒店(哈尔滨香坊万达广场龙塔店),17.87,24.63,8.08,22.47,19.0,19.26,17.91,8.7,8.72,6.41,13.83,6.11,7.47,9.02,7.13,13.77,8.7,6.58,5.64,4.04,7.91,4.7,1.59,15.64,6.11,4.72,27.75,5.42,4.41,7.14,7.86,13.98,4.68,7.12,1.07,21.13,19.88,4.65,27.24,6.82,13.11,13.19,9.88,1.3,10.23,24.09,5.63,28.35,12.93,13.04,13.43,1.02,11.8,13.08,6.37,0.0,11.57,31.52,7.72,11.45,13.48,26.04,7.94,12.74,14.77,22.16,25.34,8.46,226.28,241.26,226.58,210.74,217.83,221.55,38.05,222.81,224.12,221.34,225.89,226.22,20.72,225.8,225.93,225.89,225.99,241.4,242.14,15.74,3.36,225.82,22.31,5.76,7.18,8.45,2.74,3.22,1.86,4.82,8.97,7.31,5.66,7.02,8.29,8.73,7.1,5.84,6.86,7.13,3.49,12.45,7.9,9.91,7.66,6.36,2.96,3.38,3.53,2.91,6.97,5.64,39.28,3.73,3.71,9.4,6.37,7.09,15.4,18.36,22.61,14.98,5.13,13.66,12.01,24.65,43.18
希岸Deluxe酒店(哈尔滨哈西高铁站万达广场店),13.92,21.34,12.94,18.51,15.04,15.3,28.11,12.22,12.24,11.53,14.77,10.97,12.38,11.84,11.99,14.71,11.62,11.44,14.49,10.04,12.76,14.59,12.39,7.45,10.97,11.79,42.81,10.28,13.8,11.38,12.72,7.31,9.7,11.98,12.55,17.17,16.72,14.89,32.55,7.77,6.18,1.48,5.34,13.37,21.74,23.86,7.55,24.39,1.22,1.82,8.06,10.81,1.18,1.37,9.71,11.57,0.0,27.98,9.74,17.82,5.44,24.67,9.96,2.18,6.24,20.76,20.33,7.84,230.73,238.91,231.03,215.19,222.27,225.99,30.48,227.25,228.57,225.79,230.34,230.67,25.11,230.25,230.37,230.33,230.44,239.05,239.79,20.4,8.28,230.27,20.9,12.24,7.2,4.1,9.92,10.93,10.58,12.56,8.45,14.7,10.61,9.27,8.59,12.42,9.15,11.16,10.42,10.99,11.38,5.18,5.3,2.65,5.14,11.73,8.68,11.09,11.81,9.39,9.55,10.59,31.71,10.61,10.0,6.79,14.46,15.48,13.33,22.03,21.21,12.91,10.44,3.52,18.39,27.54,35.61
毛毛镇音乐主题乐园,37.7,42.33,34.14,42.29,38.83,39.08,49.1,41.58,41.6,33.26,35.76,33.58,35.49,41.2,34.6,35.7,40.98,34.05,34.44,31.51,35.38,34.54,32.34,34.12,33.58,31.74,55.05,32.89,33.75,33.28,35.33,34.51,30.86,35.96,32.5,40.95,13.84,34.84,51.52,29.45,33.97,29.33,27.56,33.32,33.98,61.48,31.14,62.01,29.07,29.45,35.26,29.86,28.36,29.22,32.98,31.52,27.98,0.0,32.65,33.37,32.86,45.64,32.87,30.02,31.69,41.73,11.95,36.22,243.27,231.27,243.57,227.73,234.81,238.53,35.66,239.79,241.11,238.33,242.88,243.21,46.09,242.79,242.91,242.87,242.98,231.41,232.15,48.18,27.94,242.81,41.88,34.31,36.19,28.05,31.65,30.88,29.23,32.51,36.82,34.65,32.4,32.16,36.96,35.33,32.03,38.55,39.05,33.87,31.33,26.44,28.16,25.43,26.45,33.2,28.63,31.04,31.76,29.34,32.43,32.38,40.64,31.2,31.64,35.16,34.41,35.43,41.7,43.0,42.18,41.28,32.82,30.65,41.57,48.51,48.66
哈尔滨民俗博物馆民宿(松花江店),6.7,13.46,2.85,11.3,7.83,8.09,14.16,5.1,5.12,3.04,6.21,3.15,5.49,4.72,5.66,6.15,4.51,3.24,6.66,4.52,4.95,10.74,8.54,7.18,3.15,5.78,29.66,4.14,9.95,2.2,4.9,5.53,3.76,5.73,8.7,9.96,22.17,11.04,32.97,3.35,4.45,9.38,5.87,9.52,18.17,16.64,4.12,17.18,9.12,8.87,4.97,9.79,11.0,9.28,3.11,7.72,9.74,32.65,0.0,19.35,8.2,17.53,1.69,8.24,9.49,13.66,25.29,1.89,231.7,242.89,232.0,216.16,223.25,226.97,32.78,228.23,229.54,226.77,231.31,231.65,12.22,231.22,231.35,231.31,231.41,243.03,243.77,13.97,6.02,231.24,13.8,6.18,2.25,6.49,8.03,7.24,7.82,5.65,1.73,11.01,4.79,2.83,1.83,3.63,1.66,2.6,3.1,2.35,4.91,13.05,5.6,10.5,8.26,4.85,5.2,7.4,8.12,5.69,1.23,4.77,34.0,8.93,8.11,2.94,10.77,11.78,6.9,9.85,14.11,6.48,3.6,8.38,13.88,16.15,37.9
快乐专+(哈尔滨店),23.98,30.74,17.44,28.58,25.11,25.37,26.95,22.29,22.31,15.77,22.53,15.47,16.88,21.91,16.49,22.47,21.69,15.94,17.16,13.4,17.26,10.27,11.38,21.75,15.47,14.08,28.04,14.78,14.22,16.5,17.22,20.09,14.04,16.48,11.5,27.24,22.89,13.09,13.49,15.75,19.22,19.25,15.98,9.15,2.72,32.67,14.19,34.46,18.99,19.1,19.54,10.67,24.73,19.14,15.72,11.45,17.82,33.37,19.35,0.0,20.46,35.95,18.8,20.49,21.75,38.84,28.36,16.8,225.96,240.99,226.26,210.42,217.51,221.23,48.56,222.48,223.8,221.02,225.57,225.9,27.32,225.48,225.61,225.57,225.67,241.13,241.87,23.74,10.01,225.5,38.98,14.27,15.75,15.8,7.58,11.73,7.6,13.31,17.34,15.83,14.17,17.34,18.34,17.24,17.21,14.35,15.37,15.64,12.01,18.31,14.91,19.8,16.15,14.88,13.81,11.9,12.05,11.43,17.61,14.16,49.79,7.39,7.91,15.84,19.59,20.6,22.38,25.34,39.29,21.96,13.65,20.64,13.62,31.63,53.69
遇见汤泉,11.31,14.86,9.6,15.9,12.44,12.69,18.76,9.61,9.63,9.79,5.28,9.5,11.84,9.23,11.09,5.22,9.01,10.01,13.0,10.85,10.56,19.0,14.39,2.96,9.5,12.02,34.27,10.48,15.81,9.64,10.52,3.8,10.08,11.4,14.55,14.56,25.2,16.89,35.16,8.24,2.49,5.0,6.39,16.2,20.36,21.25,9.2,21.78,4.74,4.89,3.77,14.57,4.82,4.89,9.46,13.48,5.44,32.86,8.2,20.46,0.0,17.61,8.62,4.89,1.3,13.7,30.93,6.46,245.4,252.71,245.7,229.86,236.94,240.66,26.82,241.92,243.24,240.46,245.01,245.34,18.05,244.92,245.04,245.0,245.11,252.84,253.58,20.14,11.73,244.94,13.84,12.53,7.41,6.98,14.06,14.88,14.73,14.35,6.18,13.7,10.5,10.71,7.15,9.86,8.74,9.77,11.86,9.78,15.33,11.05,6.91,8.53,8.15,12.02,12.26,15.04,13.17,12.83,9.32,12.74,28.04,15.25,14.14,4.98,14.41,13.29,11.74,14.97,14.15,11.32,11.88,3.62,22.52,20.48,31.95
哈尔滨枫叶小镇温泉度假酒店,14.72,5.02,18.21,17.75,14.29,14.54,12.7,18.2,18.22,18.77,18.89,19.0,20.82,17.93,19.38,18.83,17.6,18.97,23.96,20.67,19.17,28.75,26.95,16.64,18.99,21.54,23.7,20.0,24.4,18.18,19.12,17.03,19.91,19.96,27.11,16.41,37.98,24.6,53.46,19.97,19.17,26.02,20.66,28.76,35.85,11.54,21.76,12.08,25.76,26.13,17.78,27.12,25.05,25.91,19.26,26.04,24.67,45.64,17.53,35.95,17.61,0.0,16.4,26.72,17.97,4.77,47.77,16.52,253.23,260.54,253.53,237.69,244.78,248.5,37.13,249.76,251.07,248.3,252.84,253.18,10.23,252.75,252.88,252.84,252.94,260.68,261.42,12.32,23.26,252.77,4.49,23.38,18.93,20.98,25.59,23.25,26.26,23.66,15.96,21.32,19.29,18.4,16.69,17.82,17.99,18.56,19.05,17.75,20.92,30.51,20.09,27.86,22.46,23.11,23.4,23.4,24.11,21.7,17.23,20.78,38.35,26.78,25.68,18.13,21.07,22.1,16.04,8.88,4.28,13.56,19.56,25.48,24.24,10.46,42.26
滨果汤泉空间,6.89,13.65,2.35,11.49,8.02,8.28,14.34,3.34,3.36,2.59,6.38,2.82,4.39,3.07,4.52,6.32,2.74,2.79,6.32,4.75,4.31,10.96,8.76,7.73,2.81,6.0,21.08,3.82,10.18,2.0,4.26,6.07,3.98,4.16,8.92,10.15,22.4,11.26,33.51,4.02,5.97,9.61,6.45,9.74,18.7,16.83,4.34,17.36,9.35,9.09,5.52,10.02,11.22,9.5,3.33,7.94,9.96,32.87,1.69,18.8,8.62,16.4,0.0,8.96,10.22,12.8,26.02,2.62,233.35,243.62,233.64,217.81,224.89,228.61,33.51,229.87,231.19,228.41,232.95,233.29,11.36,232.87,232.99,232.95,233.06,243.75,244.49,13.11,6.75,232.88,12.95,5.45,2.98,8.47,8.76,7.97,8.55,6.38,2.14,5.05,3.41,2.53,2.56,2.61,2.04,2.68,3.65,1.64,5.64,13.78,7.58,11.23,8.98,4.94,5.93,8.12,8.84,6.42,1.61,5.5,34.73,9.65,8.84,3.67,11.5,3.89,6.04,8.99,13.25,5.62,3.69,9.11,14.61,15.29,38.63
悦溪棠温泉洗浴,12.93,20.2,10.43,17.53,14.06,14.32,20.39,11.23,11.26,9.82,6.95,9.25,10.66,10.86,10.26,6.89,10.64,9.71,11.8,8.31,11.04,14.43,12.23,5.41,9.24,10.16,26.56,8.56,13.64,9.68,10.99,5.6,7.98,10.25,12.39,16.19,18.03,14.73,34.61,6.6,4.47,1.62,3.32,13.21,20.39,22.88,6.01,23.41,1.36,0.54,6.35,13.32,2.23,1.51,9.5,12.74,2.18,30.02,8.24,20.49,4.89,26.72,8.96,0.0,5.06,19.19,21.54,6.34,231.68,240.11,231.98,216.14,223.22,226.94,28.83,228.2,229.52,226.74,231.29,231.62,17.15,231.2,231.32,231.28,231.39,240.25,240.99,18.9,9.09,231.22,19.34,10.59,5.69,2.6,11.37,12.05,12.09,10.14,6.94,10.76,8.96,7.76,7.09,10.91,7.65,9.52,8.92,9.49,9.4,6.38,3.95,3.85,4.81,10.08,8.37,12.21,11.09,10.5,8.05,8.94,30.05,12.61,11.45,5.28,15.58,10.35,11.83,14.78,19.64,11.41,8.94,3.6,19.88,21.08,33.95
禧沐汤泉,12.53,14.03,11.68,17.12,13.65,13.91,20.8,10.83,10.85,11.08,6.08,10.79,13.13,10.45,12.38,6.02,10.23,11.3,14.3,12.14,12.53,20.29,15.69,3.82,10.79,13.32,36.3,11.78,17.1,10.93,12.49,4.42,11.37,12.69,15.85,15.78,24.03,18.19,36.45,9.12,3.71,5.79,7.18,17.5,21.65,21.78,10.49,22.31,5.53,5.69,5.17,15.86,5.61,5.68,10.76,14.77,6.24,31.69,9.49,21.75,1.3,17.97,10.22,5.06,0.0,13.39,29.47,8.55,244.07,251.38,244.37,228.53,235.62,239.34,25.49,240.59,241.91,239.13,243.68,244.01,17.75,243.59,243.72,243.68,243.78,251.52,252.26,21.11,12.85,243.61,13.54,13.64,8.53,8.96,15.18,15.49,15.85,13.9,9.15,13.57,11.61,10.72,9.3,12.56,9.85,10.89,11.39,11.63,13.16,11.32,8.09,8.79,10.44,13.13,13.45,15.65,14.29,13.94,10.43,11.59,26.72,16.37,15.26,7.5,19.02,13.16,14.04,14.66,13.84,13.62,11.88,3.89,23.64,20.18,30.62
银河欢乐世界温泉洗浴,10.85,1.23,14.34,13.88,10.41,10.67,11.86,14.33,14.35,14.9,14.97,15.12,16.95,14.06,15.51,14.92,13.73,15.1,23.49,16.8,15.3,27.68,23.08,12.73,15.12,17.66,21.27,16.13,23.93,14.31,15.25,13.12,16.04,16.09,23.24,12.54,34.07,24.13,49.54,16.1,15.25,22.1,16.79,24.89,38.74,13.12,17.89,13.65,21.84,22.22,13.87,23.25,21.14,22.0,15.39,22.16,20.76,41.73,13.66,38.84,13.7,4.77,12.8,19.19,13.39,0.0,45.29,14.01,250.75,258.06,251.05,235.21,242.29,246.01,34.65,247.27,248.59,245.81,250.36,250.69,9.44,250.27,250.39,250.35,250.46,258.19,258.93,12.07,20.76,250.29,1.07,18.81,16.42,18.47,23.09,20.74,23.75,19.15,13.46,21.73,16.78,15.89,14.18,15.32,15.48,16.05,16.55,15.24,18.41,26.13,17.58,23.48,19.95,18.3,20.89,20.89,21.61,19.19,14.72,18.27,35.87,24.28,23.17,15.62,21.48,22.51,13.53,5.19,0.6,11.05,17.05,16.58,25.79,10.61,39.77
浴玺湾温泉水汇,34.74,41.28,27.32,39.33,35.87,36.12,49.14,33.04,33.06,26.44,34.71,26.76,28.67,32.66,27.78,34.66,32.44,27.23,27.62,24.69,28.56,29.08,25.77,33.07,26.76,24.92,50.23,26.07,26.93,26.46,28.51,33.46,24.04,29.14,25.68,37.99,4.84,31.91,33.36,26.5,24.54,21.74,20.74,25.39,28.26,58.29,25.76,58.82,21.48,21.59,34.21,24.64,26.86,21.64,26.16,25.34,20.33,11.95,25.29,28.36,30.93,47.77,26.02,21.54,29.47,45.29,0.0,25.96,232.78,223.43,233.08,217.24,224.33,228.05,36.6,229.31,230.62,227.84,232.39,232.72,43.98,232.3,232.43,232.39,232.49,223.57,224.31,47.05,23.81,232.32,39.77,27.61,28.06,21.35,23.88,24.18,24.54,25.81,29.66,27.95,25.7,25.46,26.53,28.62,25.33,26.25,30.41,27.17,24.63,20.42,21.45,18.73,19.74,26.49,21.93,24.34,25.06,22.63,25.73,25.68,41.58,26.7,23.96,28.15,27.71,28.72,34.69,40.89,40.07,34.27,28.68,27.38,32.34,46.4,41.52
云尚汤泉洗浴会馆,7.01,13.77,4.08,11.61,8.14,8.4,14.46,5.27,5.29,3.48,6.37,3.19,5.53,4.89,4.78,6.32,4.67,3.7,6.7,4.54,4.93,10.76,8.55,6.46,3.19,5.71,21.45,4.18,7.15,3.33,4.89,4.81,3.77,5.09,8.71,10.27,22.19,8.23,31.51,1.97,3.91,7.49,4.54,9.53,16.7,16.95,4.13,17.49,7.23,6.97,4.25,9.04,8.67,7.38,3.15,8.46,7.84,36.22,1.89,16.8,6.46,16.52,2.62,6.34,8.55,14.01,25.96,0.0,229.84,257.03,230.14,214.3,221.39,225.1,31.14,226.36,227.68,224.9,229.45,229.78,13.75,229.36,229.49,229.44,229.55,257.17,257.91,15.5,6.76,229.38,15.34,6.08,1.04,5.71,8.77,7.98,10.25,6.39,0.94,6.01,4.05,3.15,1.1,4.85,2.29,3.32,3.82,3.25,5.66,9.64,3.9,7.12,9.0,5.57,5.94,8.14,8.86,6.44,2.14,5.52,32.37,10.77,8.85,1.69,11.51,5.6,8.43,11.39,15.65,8.01,4.32,6.75,18.05,17.69,36.27
亚布力良栖青云民宿,236.34,251.83,234.64,240.94,237.47,237.73,245.84,234.64,234.66,232.85,241.53,230.66,235.08,234.26,231.68,241.47,234.05,231.13,236.06,228.59,235.6,230.8,230.29,239.88,230.66,229.27,246.93,229.97,233.34,232.88,235.55,232.45,229.91,231.67,230.4,239.6,226.68,232.52,212.31,228.11,231.57,232.13,228.34,225.68,225.86,261.58,228.37,264.29,234.78,231.97,231.9,225.87,234.07,232.02,230.92,226.28,230.73,243.27,231.7,225.96,245.4,253.23,233.35,231.68,244.07,250.75,232.78,229.84,0.0,175.04,0.52,26.32,9.4,6.11,258.58,7.37,8.69,5.91,0.39,0.16,241.28,1.0,0.62,0.4,0.29,175.18,175.91,243.64,225.94,6.79,251.77,233.07,229.34,229.38,223.75,229.64,225.71,231.27,230.93,233.41,231.16,230.92,231.93,234.48,230.79,231.71,231.88,233.88,230.09,227.9,228.5,229.39,229.73,231.96,227.39,229.8,230.52,228.09,231.19,231.14,259.8,223.29,223.74,229.42,233.17,234.19,235.96,238.92,251.37,235.54,230.16,234.41,233.52,245.21,263.7
花筑·栖禧民宿(雪谷风景区店),251.32,259.14,249.61,255.91,252.44,252.7,260.82,249.62,249.64,244.04,250.0,245.64,246.27,249.24,246.66,249.95,249.02,246.11,251.03,243.57,250.57,245.77,245.26,248.36,245.64,242.51,261.9,244.95,244.53,244.06,250.53,248.75,241.64,246.74,245.38,254.57,233.99,247.5,245.45,243.08,254.82,240.31,239.93,240.66,240.89,271.06,240.24,271.59,240.05,240.16,249.5,240.84,242.54,240.2,245.89,241.26,238.91,231.27,242.89,240.99,252.71,260.54,243.62,240.11,251.38,258.06,223.43,257.03,175.04,0.0,175.36,155.12,166.61,170.33,265.42,171.58,172.9,170.12,174.67,175.0,256.15,174.58,174.71,174.67,174.77,0.39,0.88,258.51,240.81,174.6,258.62,247.94,244.2,239.0,238.62,244.51,240.58,246.14,245.79,248.28,246.03,245.79,246.79,249.35,245.66,246.58,246.75,248.75,244.96,234.89,239.11,236.38,238.95,246.82,242.25,244.66,245.38,242.96,246.06,246.01,266.64,238.16,238.6,244.29,248.04,249.05,250.83,253.78,258.21,250.41,245.02,241.77,248.38,269.68,270.55
亚布力芳源李·1897民宿,236.64,252.13,234.93,241.24,237.77,238.03,246.14,234.94,234.96,233.15,241.82,230.96,235.38,234.56,231.98,241.77,234.35,231.43,236.35,228.89,235.9,231.09,230.59,240.18,230.96,229.57,247.23,230.27,233.64,233.17,235.85,232.74,230.21,231.97,230.7,239.9,226.98,232.82,212.61,228.41,231.87,232.43,228.64,225.98,226.16,261.88,228.66,264.58,235.07,232.27,232.19,226.16,234.37,232.32,231.22,226.58,231.03,243.57,232.0,226.26,245.7,253.53,233.64,231.98,244.37,251.05,233.08,230.14,0.52,175.36,0.0,26.62,9.7,6.41,258.88,7.67,8.98,6.21,0.69,0.46,241.58,1.4,0.76,0.69,0.59,175.47,176.21,243.94,226.24,7.18,252.07,233.37,229.63,229.68,224.05,229.94,226.01,231.57,231.22,233.71,231.46,231.22,232.22,234.78,231.09,232.01,232.18,234.18,230.39,228.19,228.79,229.69,230.03,232.25,227.69,230.1,230.82,228.39,231.49,231.44,260.1,223.59,224.03,229.72,233.47,234.48,236.26,239.22,251.67,235.84,230.45,234.71,233.81,245.51,264.0
亚布力壹号别院民宿,220.8,236.29,219.09,225.4,221.93,222.19,230.3,219.1,219.12,217.31,225.99,215.12,219.54,218.72,216.14,225.93,218.51,215.59,220.51,213.05,220.06,215.26,214.75,224.34,215.12,213.73,231.39,214.43,217.8,217.34,220.01,216.91,214.37,216.13,214.86,224.06,211.14,216.98,196.77,212.57,216.03,216.59,212.8,210.14,210.32,246.04,212.82,248.74,219.24,216.43,216.35,210.32,218.53,216.48,215.38,210.74,215.19,227.73,216.16,210.42,229.86,237.69,217.81,216.14,228.53,235.21,217.24,214.3,26.32,155.12,26.62,0.0,17.88,21.6,243.05,22.86,24.17,21.39,25.94,26.27,225.76,25.85,25.98,25.94,26.04,155.25,155.99,228.12,210.42,25.87,236.25,217.54,213.81,213.85,208.22,214.12,210.18,215.75,215.4,217.88,215.63,215.39,216.4,218.95,215.27,216.19,216.35,218.36,214.57,212.37,212.97,213.86,214.2,216.43,211.86,214.27,214.99,212.57,215.66,215.61,244.28,207.77,208.21,213.9,217.65,218.66,220.44,223.39,235.84,220.02,214.63,218.88,217.99,229.69,248.18
寒酥庄园酒店(亚布力滑雪旅游度假区),227.89,243.38,226.18,232.48,229.01,229.27,237.39,226.19,226.21,224.4,233.07,222.21,226.63,225.81,223.22,233.02,225.59,222.68,227.6,220.14,227.14,222.34,221.83,231.43,222.21,220.82,238.47,221.52,224.89,224.42,227.1,223.99,221.46,223.21,221.95,231.14,218.23,224.07,203.86,219.65,223.12,223.68,219.89,217.23,217.41,253.12,219.91,255.83,226.32,223.52,223.44,217.41,225.61,223.57,222.46,217.83,222.27,234.81,223.25,217.51,236.94,244.78,224.89,223.22,235.62,242.29,224.33,221.39,9.4,166.61,9.7,17.88,0.0,4.02,256.51,5.28,6.6,3.82,8.37,8.7,239.22,8.28,8.4,8.36,8.47,173.11,173.85,241.57,223.88,8.29,249.71,231.0,227.27,227.31,221.68,227.57,223.64,229.21,228.86,231.34,229.09,228.85,229.86,232.41,228.72,229.65,229.81,231.82,228.03,225.83,226.43,227.32,227.66,229.89,225.32,227.73,228.45,226.03,229.12,229.07,257.74,221.22,221.67,227.36,231.1,232.12,233.9,236.85,249.3,233.47,228.09,232.34,231.45,243.15,261.64
